wert,wert,wert,wert
D,z1,z2,z3
7,715.7,721.6,710.8
14,703.9,700.7,713.2
21,616.6,614.2,605.2
22,601.0,603.5,604.8
28,577.3,584.6,574.1
42,577.6,582.8,560.3
50,528.1,527.0,521.9
55,529.5,525.0,524.9
85,457.2,456.2,448.9
100,402.7,415.1,415.0
110,393.7,401.7,405.4
165,327.1,336.1,326.5
200,274.3,290.1,282.8
220,272.2,267.7,269.6
345,185.5,193.9,196.7
400,172.6,163.3,167.9
600,118.7,116.7,115.6
800,90.2,93.9,90.3
1000,63.1,61.6,68.5
1200,52.5,50.8,47.8
1400,45.5,45.9,46.8
1600,42.7,39.9,43.5
2000,30.1,29.3,30.4
4000,16.6,17.9,15.3
5600,15.8,16.7,15.4
